MelingoId,Pos,Entry,TranslationFull,TranslationFlash,CorrectAns,CorrectAns2,CorrectAns3,Distractor1,Distractor2,Distractor3,DistractorEN1,DistractorEN2,DistractorEN3,UsageNote,Succeed,Failed,PronunciationFile,ImageFile,ManualEdit,LastUpadte,UsageNodeType,,,,,,,,,,,,
9530,8,blame,culpar, echar la culpa a,,culpar,,,suplicar,perdonar,compadecer,,,,,,,1,,,32:13.0,3,,,,,,,,,,,
9531,6,blameless,intachable, sin culpa, inocente,,intachable,,,insaciable,insalvable,insociable,,,,,,,,,,,3,,,,,,,,,,
9533,6,blameworthy,culpable, reprochable, censurable,,culpable,,,comparable,cafetalero,colmilludo,,,,,,,1,,,,3,,,,,,,,,,
9534,8,blanch,palidecer; blanquear,,blanquear,,,blandir,blofear,barnizar,,,,,,,1,,,,3,,,,,,,,,,,,
9536,6,bland,soso, insulso, desabrido,,soso,,,sonoro,solo,sofrito,,,,,,,1,,,,3,,,,,,,,,,
9541,1,blandishment,lisonja, halago,,halago,,,reproche,venganza,rechazo,,,,,,,1,,,43:58.3,3,,,,,,,,,,,
9542,10,blandly,de manera insulsa,,de manera insulsa,,,de marras,delante,despacio,,,,,,,,,,,3,,,,,,,,,,,,
9543,1,blandness,lo insulso, lo desabrido,,lo insulso,,,los nacidos,comensal,longitud,,,,,,,,,,,3,,,,,,,,,,,
9544,6,blank,perplejo, desconcertado; sin expresión, inexpresivo; en blanco (dícese de un papel), liso (dícese de una pared); vacío, en blanco,,perplejo,,,penal,perdido,perenne,,,,,,,1,,,,3,,,,,,,,
9548,0,blank endorsement,endoso en blanco,,endoso en blanco,,,en un decir amén,engrandecimiento,experimentación,,,,,,,,,,,3,,,,,,,,,,,,
9550,1,blanket,manta, cobija, frazada,,manta,,,mandato,manga,manto,,,,,,,1,,,,3,,,,,,,,,,
9555,10,blankly,sin comprender,,sin comprender,,,seguro,siquiera,siempre,,,,,,,,,,,3,,,,,,,,,,,,
9556,1,blare,estruendo,,estruendo,,,estéreo,estirón,estrado,,,,,,,1,,,,3,,,,,,,,,,,,
9558,1,blarney,labia,,labia,,,labio,labrador,labrado,,,,,,,1,,,,3,,,,,,,,,,,,
9562,8,blaspheme,blasfemar,,blasfemar,,,blanquear,bosquejar,exasperar,,,,,,,1,,,,3,,,,,,,,,,,,
9563,1,blasphemer,blasfemo, -ma,,blasfemo,,,blasfemia,braguero,biosfera,,,,,,,,,,,3,,,,,,,,,,,
9564,6,blasphemous,blasfemo,,blasfemo,,,blancuzco,bituminoso,bioquímico,,,,,,,1,,,,3,,,,,,,,,,,,
9566,1,blasphemy,blasfemia,,blasfemia,,,biosfera,brasier,brasero,,,,,,,1,,,,3,,,,,,,,,,,,
9568,1,blast,ráfaga; explosión,,ráfaga,,,refugio,rábano,rebaja,,,,,,,1,,,,3,,,,,,,,,,,,
9572,1,blast-off,lanzamiento; (figurado) despegue, arranque,,lanzamiento,,,discusión,plegaria,elección,,,,,,,,,,17/08/2016 13:46,0,,,,,,,,,,,
9573,6,blasted,maldito, condenado,,maldito,,,maldoso,molesto,malsano,,,,,,,,,,21/09/2016 0:00,3,,,,,,,,,,,
9594,6,blatant,descarado,,descarado,,advanced adjectives,tímido,alegre,melancólico,,,,,,,1,                              ,,18/03/2015 9:35,3,,,,,,,,,,,,
9595,10,blatantly,descaradamente,,descaradamente,,,demasiado,despacio,de marras,,,,,,,,,,,3,,,,,,,,,,,,
9601,1,blaze,fuego; resplandor, brillantez; arranque; alarde, llamarada,,fuego,,,fulgor,fuero,freno,,,,,,,1,,,,3,,,,,,,,,,
9603,1,blazer,chaqueta deportiva, blazer,,chaqueta deportiva,,,chaqueta,chequera,croqueta,,,,,,,1,,,,3,,,,,,,,,,,
9605,6,blazing,en llamas, flameante, abrasador, centelleante; abrasador, implacable, fuerte,,en llamas,,,antibalas,escolar,exaltado,,,,,,,,,,21/09/2016 0:00,3,,,,,,,
9608,8,blazon,blasonar, ostentar,,blasonar,,,apisonar,barrenar,borbotar,,,,,,,/b/blazon01.mp3               ,,,21/09/2016 0:00,3,,,,,,,,,,,
9611,1,bleach,lejía, blanqueador,,lejía,,,letra,lechada,legua,,,,,,,1,,,,3,,,,,,,,,,,
9613,0,bleacher,blanqueador,,blanqueador,,,blanquillo,blancura,blandura,,,,,,,1,,,,3,,,,,,,,,,,,
